"Tags","Vendor","Title","Handle","Body (HTML)","Variant Price","Length","Length Unit","Width","Width Unit","Thickness","Thickness Unit","Variant Weight","Variant Weight Unit","URL","Image Src","Image Position"
"""Building Materials,Drywall,Drywall Corner Bead""","ClarkDietrich","1-1/4 in. x 8 ft. Quicksilver Metal Corner Bead","1-14-in-x-8-ft-quicksilver-metal-corner-bead","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Galvanized metal finish for durability and protection</span></li><li data-testid=""bullet-list-item""><span>Sturdy construction for lasting use</span></li><li data-testid=""bullet-list-item""><span>Pre-punched nail holes for quick installation</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>QUICKSILVER corner bead is a hot-dipped, highly durable galvanized bead. QUICKSILVER corner bead provides a high-quality finish and solid protection at drywall corners. This traditional drywall finishing product is nailed, stapled, screwed or clinched into place. Flanges are deeply knurled and perforated for excellent joint compound adhesion.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Offers superior corrosion protection</span></li><li data-testid=""bullet-list-item""><span>Ideal for humid, moisture-prone conditions and high-traffic areas</span></li><li data-testid=""bullet-list-item""><span>Strong metal reinforcement for drywall corners</span></li><li data-testid=""bullet-list-item""><span>Exposed nose resists impact and forms a screed for finishing</span></li><li data-testid=""bullet-list-item""><span>Note: product may vary by store</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 203171469</span><span><span>Internet #:</span> 751361490114</span><span><span>Model #:</span> 741339</span></div>","3.98","8","ft","1.25","in","","undefined","1","lb","https://www.homedepot.com/p/ClarkDietrich-1-1-4-in-x-8-ft-Quicksilver-Metal-Corner-Bead-741339/203171469","https://images.thdstatic.com/productImages/66e90a26-2907-4004-9b61-25da33a69e5d/svn/clarkdietrich-drywall-corner-bead-741339-64_600.jpg","1"
"""Building Materials,Roofing,Roof Panels,Metal Roofing""","Gibraltar Building Products","8 ft. Corrugated Galvanized Steel 31-Gauge Roof Panel","8-ft-corrugated-galvanized-steel-31-gauge-roof-panel","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Can be used in a variety of applications</span></li><li data-testid=""bullet-list-item""><span>Ideal for protection against wind, heat, humidity, &amp; water</span></li><li data-testid=""bullet-list-item""><span>Made from durable galvanized steel</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Gibraltar's galvanized steel corrugated panels are trusted by professionals and homeowners for a variety of applications. This 31-Gauge corrugated galvanized steel panel is a thin utility use panel that's durable for roofing and siding and is also recommended for DIY projects, privacy fencing, planters and garden sheds. Other uses include: back splashes, ceilings, wainscoting and craft projects. The distinctive galvanized finish will stand up to all kinds of weather and can be painted or aged for a variety of interesting visual effects. Corrugated panels are easily cut with shears and being light weight makes them easy to use and transport.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Thin and light weight for ease of use or transport; cuts easily with common aviation snips</span></li><li data-testid=""bullet-list-item""><span>31-Gauge thickness, recommended for roof slopes of 3/12 pitch or greater</span></li><li data-testid=""bullet-list-item""><span>Corrugated panels will not rot, mildew or warp and can form an effective pesticide-free barrier against termites and other insects</span></li><li data-testid=""bullet-list-item""><span>Non-combustible; resistance to fire increases your security and may result in lower insurance premiums</span></li><li data-testid=""bullet-list-item""><span>Corrugated panels are a good choice for the environment; after a long service life corrugated panels are still 100% recyclable</span></li><li data-testid=""bullet-list-item""><span>21-1/2 in. roof coverage or 24 in. siding coverage</span></li><li data-testid=""bullet-list-item""><span>Galvanized steel is a low-maintenance product that is known for durability</span></li><li data-testid=""bullet-list-item""><span>Panel is unpainted</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 202092961</span><span><span>Internet #:</span> 099137600665</span><span><span>Model #:</span> 13513</span></div>","18.48","8","ft","25.75","in","0.01","in","7.37","lb","https://www.homedepot.com/p/8-ft-Corrugated-Galvanized-Steel-31-Gauge-Roof-Panel-13513/202092961","https://images.thdstatic.com/productImages/e6c67ca2-8514-4deb-80e9-22055869e93b/svn/metal-roofing-13513-64_600.jpg","1"
"undefined","undefined","undefined","8-ft-corrugated-galvanized-steel-31-gauge-roof-panel","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/89f39acc-87fc-4d8a-9b80-137d8bef16a0/svn/metal-roofing-13513-e1_600.jpg","2"
"undefined","undefined","undefined","8-ft-corrugated-galvanized-steel-31-gauge-roof-panel","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/1834613806001/a3a99346-dce1-4496-95a3-fb837a9bd857/6b83ccec-5ffd-4812-aa04-bf1970e9dc75/1280x720/match/image.jpg?pubId=66036796001","3"
"undefined","undefined","undefined","8-ft-corrugated-galvanized-steel-31-gauge-roof-panel","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/1834613806001/a3a99346-dce1-4496-95a3-fb837a9bd857/6b83ccec-5ffd-4812-aa04-bf1970e9dc75/1280x720/match/image.jpg?pubId=66036796001","4"
"undefined","undefined","undefined","8-ft-corrugated-galvanized-steel-31-gauge-roof-panel","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/1834613806001/a3a99346-dce1-4496-95a3-fb837a9bd857/6b83ccec-5ffd-4812-aa04-bf1970e9dc75/1280x720/match/image.jpg?pubId=66036796001","5"
"undefined","undefined","undefined","8-ft-corrugated-galvanized-steel-31-gauge-roof-panel","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/1834613806001/a3a99346-dce1-4496-95a3-fb837a9bd857/6b83ccec-5ffd-4812-aa04-bf1970e9dc75/1280x720/match/image.jpg?pubId=66036796001","6"
"""Building Materials,Concrete, Cement & Masonry,Rebar & Accessories,Rebar""","Unbranded","1/2 in. x 20 ft. #4 Rebar","12-in-x-20-ft-4-rebar","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Made from grade 40 steel for exceptional performance</span></li><li data-testid=""bullet-list-item""><span>Includes raised ribs for maximum concrete adhesion</span></li><li data-testid=""bullet-list-item""><span>Each bar is cut to a 20 ft. length</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>With raised ribs, the 1/2 in. x 20 ft. Rebar offers ideal concrete adhesion. The reinforcing bar is constructed of grade 40 steel for lasting performance and strength.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Grade 40 steel rod for reinforcing concrete</span></li><li data-testid=""bullet-list-item""><span>Raised ribs for proper concrete adhesion</span></li><li data-testid=""bullet-list-item""><span>1/2 in. diameter</span></li><li data-testid=""bullet-list-item""><span>Cut to 20 ft. length</span></li><li data-testid=""bullet-list-item""><span>Note: Product may vary by store.</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 202532809</span><span><span>Internet #:</span> 697624412205</span><span><span>Model #:</span> REB/4/615G4/20</span></div>","20.3","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://www.homedepot.com/p/1-2-in-x-20-ft-4-Rebar-REB-4-615G4-20/202532809","https://images.thdstatic.com/productImages/4dd58836-0bde-407d-90fc-4b13fcf1258b/svn/rebar-reb-4-615g4-20-64_600.jpg","1"
"""Paint,Paint Supplies,Patching & Repair,Plaster""","DAP","25 lbs. White Dry Mix Plaster of Paris","25-lbs-white-dry-mix-plaster-of-paris","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Use Plaster of Paris for indoor wall &amp; ceiling repairs</span></li><li data-testid=""bullet-list-item""><span>Fast setting plaster formula can be sanded &amp; painted upon curing</span></li><li data-testid=""bullet-list-item""><span>Dry mix Plaster of Paris can be used for DIY chalk finish paint</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Repair your plaster walls with this DAP 25 lbs. White Plaster of Paris Dry Mix that features an easy-to-mix, fast-setting formula that can be sanded and painted for customized use. For general wall and ceiling repair. Sets fast in 20-30 minutes without shrinking. Smooth formula provides great results every time. Can also be used to mix your own DIY version of chalk finish paint. Interior use.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Easy-to-mix formula dries to a dense, durable finish</span></li><li data-testid=""bullet-list-item""><span>Ideal for repairing plaster walls and ceilings or for hobby and craft applications</span></li><li data-testid=""bullet-list-item""><span>Sandable for a smooth finish</span></li><li data-testid=""bullet-list-item""><span>Paintable with oil- or latex-based paint</span></li><li data-testid=""bullet-list-item""><span>Resists shrinking and bubbles</span></li><li data-testid=""bullet-list-item""><span>Fast-setting for quick repairs</span></li><li data-testid=""bullet-list-item""><span>Indoor use only</span></li><li data-testid=""bullet-list-item""><span>For wall and ceiling repairs</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 100123682</span><span><span>Internet #:</span> 070798103122</span><span><span>Model #:</span> 10312</span></div>","22.78","","undefined","10.5","in","","undefined","25.53","lb","https://www.homedepot.com/p/DAP-25-lbs-White-Dry-Mix-Plaster-of-Paris-10312/100123682","https://images.thdstatic.com/productImages/482729f4-cc2f-407f-b789-820b45121f64/svn/dap-drywall-texture-tools-10312-64_600.jpg","1"
"undefined","undefined","undefined","25-lbs-white-dry-mix-plaster-of-paris","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/edfcca40-cb58-46c0-95e0-8df80de7f02c/svn/dap-drywall-texture-tools-10312-c3_600.jpg","2"
