"Tags","Vendor","Title","Handle","Body (HTML)","Variant Price","Length","Length Unit","Width","Width Unit","Thickness","Thickness Unit","Variant Weight","Variant Weight Unit","URL","Image Src","Image Position"
"""Lumber & Composites,Plywood,Sheathing Plywood""","Unbranded","23/32 in. x 4 ft. x 8 ft. RTD Sheathing Syp","2332-in-x-4-ft-x-8-ft-rtd-sheathing-syp","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Plywood sheathing is used in construction project.</span></li><li data-testid=""bullet-list-item""><span>Typical uses are for walls and roof sheathing.</span></li><li data-testid=""bullet-list-item""><span>Rigid, durable and overall good utility panels.</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Plywood sheathing is ideal for residential and light construction, and every piece meets the highest grading standards for strength and appearance. It adds proven performance and durability to new homes, room additions and renovations. Plywood sheathing delivers outstanding rigidity, strength and versatility, and is an excellent choice for light frame wall and roof assemblies in weather protected applications.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Structural sheathing for wall, roof and floor applications</span></li><li data-testid=""bullet-list-item""><span>Long-term durability with resistance to edge swell</span></li><li data-testid=""bullet-list-item""><span>Excellent fastener holding properties</span></li><li data-testid=""bullet-list-item""><span>Versatile, provides excellent performance in a wide variety of applications</span></li><li data-testid=""bullet-list-item""><span>Ideal for residential and light construction</span></li><li data-testid=""bullet-list-item""><span>Note: product finish may vary by store</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 303564747</span><span><span>Internet #:</span> 090489574338</span><span><span>Model #:</span> 129323</span></div>","40","8","ft","4","ft","0.72","in","","undefined","https://www.homedepot.com/p/23-32-in-x-4-ft-x-8-ft-RTD-Sheathing-Syp-129323/303564747","https://images.thdstatic.com/productImages/1c22cefe-fca4-4483-afa9-11e2f7260f7b/svn/sheathing-plywood-129323-64_600.jpg","1"
"undefined","undefined","undefined","2332-in-x-4-ft-x-8-ft-rtd-sheathing-syp","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/245cb52b-c605-43e8-87bc-34cbf61459f8/svn/sheathing-plywood-129323-e1_600.jpg","2"
"undefined","undefined","undefined","2332-in-x-4-ft-x-8-ft-rtd-sheathing-syp","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/ee084739-8c64-4e82-b1dc-78b7e614705c/aa7cfdaa-d7ea-42eb-90b4-0c87851a9690/960x540/match/image.jpg","3"
"undefined","undefined","undefined","2332-in-x-4-ft-x-8-ft-rtd-sheathing-syp","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/ee084739-8c64-4e82-b1dc-78b7e614705c/aa7cfdaa-d7ea-42eb-90b4-0c87851a9690/960x540/match/image.jpg","4"
"undefined","undefined","undefined","2332-in-x-4-ft-x-8-ft-rtd-sheathing-syp","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/ee084739-8c64-4e82-b1dc-78b7e614705c/aa7cfdaa-d7ea-42eb-90b4-0c87851a9690/960x540/match/image.jpg","5"
"undefined","undefined","undefined","2332-in-x-4-ft-x-8-ft-rtd-sheathing-syp","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/ee084739-8c64-4e82-b1dc-78b7e614705c/aa7cfdaa-d7ea-42eb-90b4-0c87851a9690/960x540/match/image.jpg","6"
"""Lumber & Composites,Plywood,Sheathing Plywood""","Unbranded","15/32 in. x 4 ft. x 8 ft. 3-Ply RTD Sheathing","1532-in-x-4-ft-x-8-ft-3-ply-rtd-sheathing","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Plywood sheathing for use in construction</span></li><li data-testid=""bullet-list-item""><span>Can be used as wall and roof sheathing</span></li><li data-testid=""bullet-list-item""><span>Stiff, durable and dependable panels</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Plywood sheathing is ideal for residential and light construction. Every piece meets the highest grading standards for strength and appearance. It adds proven performance and durability to new homes, room additions and renovations. Plywood sheathing delivers outstanding stiffness, strength and versatility. It is an excellent choice for light frame wall and roof assemblies in weather protected applications.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Every piece meets the highest grading standards for strength and appearance</span></li><li data-testid=""bullet-list-item""><span>Sheathing is ideal for residential and light construction</span></li><li data-testid=""bullet-list-item""><span>Ideal for roofs, walls and floors weather protected application</span></li><li data-testid=""bullet-list-item""><span>Delivers strength and durability</span></li><li data-testid=""bullet-list-item""><span>Wide range of uses.</span></li><li data-testid=""bullet-list-item""><span>Note: Product may vary by store</span></li><li data-testid=""bullet-list-item""><span><a href=""https://www.homedepot.com/c/how_to_select_right_structural_lumber_for_posts_beams_joists_HT_BG_LC"" target=""_blank"" style=""color:#F96302;"">Click to learn how to select the right lumber for your project</a></span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 100067329</span><span><span>Internet #:</span> 081999104641</span><span><span>Model #:</span> 132411</span></div>","30","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://www.homedepot.com/p/15-32-in-x-4-ft-x-8-ft-3-Ply-RTD-Sheathing-132411/100067329","https://images.thdstatic.com/productImages/f8d129e4-eab4-46e0-b1b0-466fd5cf6176/svn/sheathing-plywood-132411-64_600.jpg","1"
"undefined","undefined","undefined","1532-in-x-4-ft-x-8-ft-3-ply-rtd-sheathing","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/81d97dc8-8ad0-47b1-b54b-f3533dbfaf43/svn/sheathing-plywood-132411-e1_600.jpg","2"
"undefined","undefined","undefined","1532-in-x-4-ft-x-8-ft-3-ply-rtd-sheathing","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/ee084739-8c64-4e82-b1dc-78b7e614705c/aa7cfdaa-d7ea-42eb-90b4-0c87851a9690/960x540/match/image.jpg","3"
"undefined","undefined","undefined","1532-in-x-4-ft-x-8-ft-3-ply-rtd-sheathing","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/ee084739-8c64-4e82-b1dc-78b7e614705c/aa7cfdaa-d7ea-42eb-90b4-0c87851a9690/960x540/match/image.jpg","4"
