"Tags","Vendor","Title","Handle","Body (HTML)","Variant Price","Length","Length Unit","Width","Width Unit","Thickness","Thickness Unit","Variant Weight","Variant Weight Unit","URL","Image Src","Image Position"
"""Building Materials,Insulation,Radiant Barrier""","Everbilt","48 in. x 125 ft. Double Reflective Insulation Radiant Barrier","48-in-x-125-ft-double-reflective-insulation-radiant-barrier","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Protects against cold, heat and UV light</span></li><li data-testid=""bullet-list-item""><span>Reduces noise between rooms</span></li><li data-testid=""bullet-list-item""><span>Non-toxic and safe for pets</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Keep temperatures steady with this Everbilt reflective insulation radiant barrier. You can use this non-toxic weather and UV-resistant insulation on floors, walls, roofs, basements and more. For convenient assembly, it offers a lightweight, flexible design. It reduces noise between rooms while lowering heating and cooling costs.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Ideal for floors, walls and roofs in a variety of structures including finished attics, basements, interior and exterior walls, garden buildings, recreational vehicles and pet homes</span></li><li data-testid=""bullet-list-item""><span>Non-toxic and non-carcinogenic for a safe and healthy home during and following installation meets ASTM E 84 and ASTM E96 fire and smoke testing standards</span></li><li data-testid=""bullet-list-item""><span>No harmful particles or irritants, no protective clothing or equipment necessary</span></li><li data-testid=""bullet-list-item""><span>Helps reduce noise transmission between rooms for increased privacy and fewer disturbances</span></li><li data-testid=""bullet-list-item""><span>Everbilt insulation provides an insulating barrier between interior and exterior environments protecting against cold, heat and UV light</span></li><li data-testid=""bullet-list-item""><span>Helps reduce heating and cooling costs, providing a-year-round improvement</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 319738988</span><span><span>Internet #:</span> 810016116868</span><span><span>Model #:</span> 48X125DBLRFL</span></div>","179","125","ft","48","in","0.19","in","25","lb","https://www.homedepot.com/p/Everbilt-48-in-x-125-ft-Double-Reflective-Insulation-Radiant-Barrier-48X125DBLRFL/319738988","https://images.thdstatic.com/productImages/8fa60757-afcd-433c-8c44-187fc99e9401/svn/everbilt-radiant-barrier-48x125dblrfl-64_600.jpg","1"
"undefined","undefined","undefined","48-in-x-125-ft-double-reflective-insulation-radiant-barrier","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/2e500cfb-bc5e-4b6c-acf2-94ebe9830303/svn/everbilt-radiant-barrier-48x125dblrfl-e1_600.jpg","2"
"undefined","undefined","undefined","48-in-x-125-ft-double-reflective-insulation-radiant-barrier","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/d5f6e869-b38b-4bb4-b2f7-4e749c5383ed/svn/everbilt-radiant-barrier-48x125dblrfl-40_600.jpg","3"
"undefined","undefined","undefined","48-in-x-125-ft-double-reflective-insulation-radiant-barrier","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/e1ce6d9b-9058-49fc-85d5-909d78ecb9b1/svn/everbilt-radiant-barrier-48x125dblrfl-a0_600.jpg","4"
"undefined","undefined","undefined","48-in-x-125-ft-double-reflective-insulation-radiant-barrier","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/ec015861-1489-40b0-abea-485b0d45bdbf/svn/everbilt-radiant-barrier-48x125dblrfl-1d_600.jpg","5"
"undefined","undefined","undefined","48-in-x-125-ft-double-reflective-insulation-radiant-barrier","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/deb64715-1099-46e7-9392-763067cc8ecc/svn/everbilt-radiant-barrier-48x125dblrfl-66_600.jpg","6"
"""Building Materials,Material Handling Equipment,Platform Trucks & Dollies""","Anvil","800 lbs. Capacity 18 in. Wood Furniture Dolly","800-lbs-capacity-18-in-wood-furniture-dolly","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Designed with swivel caster wheels for easy mobility</span></li><li data-testid=""bullet-list-item""><span>Crafted from high-quality wood for lasting use</span></li><li data-testid=""bullet-list-item""><span>Offers a load capacity of 800 lbs.</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Save your back and time when moving bulky home furnishings and other large items yourself. This Tool have 800 lbs. Capacity Furniture Dolly Set will help you get the couch, recliner, and other furniture from the back of your truck into your home with ease.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Load capacity 800 lbs.</span></li><li data-testid=""bullet-list-item""><span>Great for moving large objects and furniture</span></li><li data-testid=""bullet-list-item""><span>18 in. W x 12 in. D x 5 in. H</span></li><li data-testid=""bullet-list-item""><span>4 swivel casters make for easy rolling in any direction</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 315649433</span><span><span>Internet #:</span> 6947225814934</span><span><span>Model #:</span> HDWD002</span></div>","11.98","","undefined","18","in","","undefined","5.3","lb","https://www.homedepot.com/p/Anvil-800-lbs-Capacity-18-in-Wood-Furniture-Dolly-HDWD002/315649433","https://images.thdstatic.com/productImages/bf423811-6417-4e54-84af-d1bd68613b10/svn/anvil-dollies-hdwd002-64_600.jpg","1"
"""Building Materials,Ladders,Work Platforms""","Gorilla Ladders","4 ft. x 12 in. x 20 in. Aluminum Slim-Fold Work Platform, 300 lbs. Load Capacity","4-ft-x-12-in-x-20-in-aluminum-slim-fold-work-platform-300-lbs-load-capacity","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Integrated handle for easy carrying and mobility</span></li><li data-testid=""bullet-list-item""><span>300 lb. load capacity provides incredible stability</span></li><li data-testid=""bullet-list-item""><span>Lifetime warranty</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>This Slim-Fold Work Platform is ideal for high-up jobs that you need a large platform to reach. It features a 300 lb. load capacity with a solid surface and strong aluminum frame. It’s also foldable so you can stow it away when not in use.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Sturdy aluminum frame with non-marring feet</span></li><li data-testid=""bullet-list-item""><span>47.25 in. x 12 in. standing area offers ample space</span></li><li data-testid=""bullet-list-item""><span>Integrated handle provides one-handed mobility</span></li><li data-testid=""bullet-list-item""><span>300-lb. load capacity</span></li><li data-testid=""bullet-list-item""><span>Thin design folds to 3.25 in. thick for compact storage</span></li><li data-testid=""bullet-list-item""><span>20-in. standing height is ideal for painting and drywall projects or for use as a work bench</span></li><li data-testid=""bullet-list-item""><span>Lightweight design is easy to carry and transport</span></li><li data-testid=""bullet-list-item""><span>Large, multi-use platform offers versatility</span></li><li data-testid=""bullet-list-item""><span>Slip-resistant, solid-top surface helps ensure safety</span></li><li data-testid=""bullet-list-item""><span>Legs lock into place automatically when folded out, and fold back down with the press of a button</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 305590237</span><span><span>Internet #:</span> 722571012083</span><span><span>Model #:</span> GLWP-47</span></div>","59.88","3.9","ft","3.92","ft","1.75","in","11.13","lb","https://www.homedepot.com/p/Gorilla-Ladders-4-ft-x-12-in-x-20-in-Aluminum-Slim-Fold-Work-Platform-300-lbs-Load-Capacity-GLWP-47/305590237","https://images.thdstatic.com/productImages/b8b7aa07-c318-43a2-a4c0-f2482dda663d/svn/gorilla-ladders-work-platforms-glwp-47-64_600.jpg","1"
"undefined","undefined","undefined","4-ft-x-12-in-x-20-in-aluminum-slim-fold-work-platform-300-lbs-load-capacity","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/d3b01dc6-a8ba-4c39-9d06-cd0be57d75e4/svn/gorilla-ladders-work-platforms-glwp-47-e1_600.jpg","2"
"undefined","undefined","undefined","4-ft-x-12-in-x-20-in-aluminum-slim-fold-work-platform-300-lbs-load-capacity","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/1834613806001/1c2bc560-3ba9-4c4b-af91-06fa647a0dda/a6e2ccfe-73d4-4b37-8a52-fafa588e719c/1280x720/match/image.jpg?pubId=66036796001","3"
